model,config,task_id,num_nodes,activation_mb,param_mb,op_weighted_cost,prove_time_s,peak_mem_gb
UpsampleDecoder,k=1,16,5,15.17,1.54,80.58,33.41,1.74
UpsampleDecoder,k=1,17,5,7.44,4.62,40.59,18.31,0.8
UpsampleDecoder,k=1,18,5,9.84,2.04,55.41,23.23,0.88
UpsampleDecoder,k=1,19,4,2.15,2.03,20.71,7.18,0.68
UpsampleDecoder,k=1,20,4,5.77,0.97,39.62,11.44,0.72
UpsampleDecoder,k=1,21,7,44.1,9.44,216.34,97.34,4.67
UpsampleDecoder,k=1,22,5,3.18,6.7,24.1,9.74,0.54
UpsampleDecoder,k=1,23,8,2.58,7.25,37.49,13.3,0.1
UpsampleDecoder,k=1,24,7,6.92,6.27,49.83,20.95,1.21
UpsampleDecoder,k=1,25,1,4.65,3.94,25.05,11.55,0.6
UpsampleDecoder,k=1,26,3,1.54,6.59,19.74,8.6,0.1
UpsampleDecoder,k=1,27,5,11.66,4.11,69.25,34.22,1.51
UpsampleDecoder,k=1,28,6,15.97,5.22,85.21,38.54,1.6
UpsampleDecoder,k=1,29,4,9.89,1.87,52.47,25.46,1.19
UpsampleDecoder,k=1,30,1,4.72,1.43,24.73,8.74,0.7
UpsampleDecoder,k=1,31,5,10.3,1.55,52.74,22.84,1.15
UpsampleDecoder,k=1,32,1,7.78,1.05,37.82,11.39,0.62
UpsampleDecoder,k=1,33,10,19.86,1.46,117.6,46.63,2.0
UpsampleDecoder,k=1,34,8,7.72,4.25,51.45,24.43,0.94
UpsampleDecoder,k=1,35,5,3.54,1.38,25.17,12.42,0.49
